,price,description,Zipcodes,districts,house_size,number_of_rooms
11532,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,50,2
11533,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,50,2
11534,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,82,3
11535,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,162,7
11536,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,65,3
11537,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,40,1
11538,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,"32,69",1
11539,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,86,3
11540,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,"68,23",3
11541,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,90,3
11542,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,50,3
11543,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,2
11544,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,"69,03",3
11545,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,37,2
11546,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,49,2
11547,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,88,3
11548,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,57,2
11549,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,50,2
11550,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,50,2
11551,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,82,3
11552,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,162,7
11553,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,65,3
11554,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,40,1
11555,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,"32,69",1
11556,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,86,3
11557,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,"68,23",3
11558,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,90,3
11559,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,50,3
11560,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,50,2
11561,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,"69,03",3
11562,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,37,2
11563,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,49,2
11564,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,88,3
11565,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,57,2
11566,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,50,2
11567,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,50,2
11568,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,82,3
11569,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,162,7
11570,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,65,3
11571,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,40,1
11572,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,"32,69",1
11573,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,86,3
11574,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,"68,23",3
11575,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,90,3
11576,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,50,3
11577,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,50,2
11578,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,"69,03",3
11579,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,37,2
11580,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,49,2
11581,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,88,3
11582,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,57,2
